,time,client_oid,funds,maker_order_id,new_size,old_size,order_id,order_type,price,product_id,reason,remaining_size,sequence,side,size,taker_order_id,trade_id,type
1158,2018-03-25 00:36:14.543,80e90350-2fc4-11e8-bc94-03ec1c2dcd07,,,,,2ec18c77-4835-48a0-a3f0-8c73cfec6fd6,limit,11798.99,BTC-USD,,,5492535704,sell,0.0011,,,received
1159,2018-03-25 00:36:17.346,810d7b40-2fc4-11e8-bc94-03ec1c2dcd07,,,,,7b043141-abf4-4309-84dd-94e8b24ffaee,limit,10971.97,BTC-USD,,,5492536018,sell,0.0017,,,received
1160,2018-03-25 00:36:17.346,81108880-2fc4-11e8-bc94-03ec1c2dcd07,,,,,62c86932-4f9c-4b4c-9800-d82f52820b44,limit,10971.97,BTC-USD,,,5492536020,sell,0.0013,,,received
1161,2018-03-25 00:36:17.349,80df8d70-2fc4-11e8-bc94-03ec1c2dcd07,,,,,9cc674af-4862-41bd-8ac5-8947a1363c85,limit,10971.97,BTC-USD,,,5492536022,sell,0.0113,,,received
1162,2018-03-25 00:36:20.582,72f837e1-e724-49a9-ace4-59cff142f48e,,,,,2d152866-a7ec-4432-8e3d-1430bd300a18,limit,8598.0,BTC-USD,,,5492536424,sell,1.16208787,,,received
1163,2018-03-25 00:36:22.099,85c0a310-2fc4-11e8-bc94-03ec1c2dcd07,,,,,43324516-4075-4943-ace3-da483a3333e6,limit,10216.2,BTC-USD,,,5492536709,sell,0.0017,,,received
1164,2018-03-25 00:36:22.103,85098810-2fc4-11e8-bc94-03ec1c2dcd07,,,,,da0d9b31-2a90-45a6-a8ec-5fb4f87f1b75,limit,16372.17,BTC-USD,,,5492536715,sell,0.0014,,,received
1165,2018-03-25 00:36:22.110,850b35c0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,66f87361-a334-4f24-bd91-dfe1c3c1180f,limit,17277.61,BTC-USD,,,5492536727,sell,0.0013,,,received
1166,2018-03-25 00:36:22.111,85b57f80-2fc4-11e8-bc94-03ec1c2dcd07,,,,,6f998d6e-c92c-4211-9dca-5750e594fa9a,limit,13692.49,BTC-USD,,,5492536729,sell,0.0012,,,received
1167,2018-03-25 00:36:22.114,855ab550-2fc4-11e8-bc94-03ec1c2dcd07,,,,,fdd62785-d577-466f-9cff-94528b920361,limit,18024.8,BTC-USD,,,5492536735,sell,0.001,,,received
1168,2018-03-25 00:36:22.116,85640420-2fc4-11e8-bc94-03ec1c2dcd07,,,,,e9052c3e-c1e9-47cc-868a-6972092a69d5,limit,11081.05,BTC-USD,,,5492536740,sell,0.001,,,received
1169,2018-03-25 00:36:22.123,859cee70-2fc4-11e8-bc94-03ec1c2dcd07,,,,,866b9f2b-f317-4b80-9114-889773c8edb7,limit,12040.0,BTC-USD,,,5492536749,sell,0.0119,,,received
1170,2018-03-25 00:36:22.129,8586f570-2fc4-11e8-bc94-03ec1c2dcd07,,,,,8399b0e8-47d4-4d8d-a58e-14d45bc6f59a,limit,20095.99,BTC-USD,,,5492536756,sell,0.001,,,received
1171,2018-03-25 00:36:22.136,85acccf0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,9fbfa8a9-b929-4561-801d-24fa0db49038,limit,13865.74,BTC-USD,,,5492536758,sell,0.0037,,,received
1172,2018-03-25 00:36:22.159,853eeff0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,f90d6660-d4ca-420b-a340-785f5803c7e3,limit,19788.36,BTC-USD,,,5492536766,sell,0.0012,,,received
1173,2018-03-25 00:36:22.447,85a1a960-2fc4-11e8-bc94-03ec1c2dcd07,,,,,49bbd42d-9804-4b6f-a661-2fc228a1ac4a,limit,15256.19,BTC-USD,,,5492536815,sell,0.0012,,,received
1174,2018-03-25 00:36:29.076,005a9a81-8561-4044-b9d3-10d02404eb64,,,,,4bc2f892-bb49-474f-9422-299805ecf7e1,limit,9278.75,BTC-USD,,,5492537959,sell,0.0024998,,,received
1175,2018-03-25 00:36:29.458,8acbaee0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,4ea6f1e0-89c5-401e-a223-41c947695b9d,limit,11085.63,BTC-USD,,,5492538007,sell,0.001,,,received
1176,2018-03-25 00:36:29.461,8a77c280-2fc4-11e8-bc94-03ec1c2dcd07,,,,,64ef2837-8d04-4d21-bdf3-ad04ee97a212,limit,18750.32,BTC-USD,,,5492538013,sell,0.0011,,,received
1177,2018-03-25 00:36:29.463,8aa78510-2fc4-11e8-bc94-03ec1c2dcd07,,,,,6e7fb04d-6711-4a7c-8430-57729552ae5e,limit,19983.31,BTC-USD,,,5492538017,sell,0.001,,,received
1178,2018-03-25 00:36:29.463,8ac211f0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,33158ad2-d5af-4960-adf7-66f244cc8b54,limit,18257.99,BTC-USD,,,5492538015,sell,0.001,,,received
1179,2018-03-25 00:36:29.463,8c3a8120-2fc4-11e8-bc94-03ec1c2dcd07,,,,,de68e42e-33ad-4771-9f8f-a6d354230381,limit,11998.99,BTC-USD,,,5492538019,sell,0.001,,,received
1180,2018-03-25 00:36:29.464,8c343f90-2fc4-11e8-bc94-03ec1c2dcd07,,,,,496a52ee-4fc6-473c-a301-4d69899de978,limit,11308.97,BTC-USD,,,5492538021,sell,0.0023,,,received
1181,2018-03-25 00:36:29.464,8b1513f0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,54a9272e-5892-4342-9da9-f444b8f6304d,limit,15512.43,BTC-USD,,,5492538023,sell,0.0012,,,received
1182,2018-03-25 00:36:29.465,8af297d0-2fc4-11e8-bc94-03ec1c2dcd07,,,,,e6b50294-6cde-4a33-a367-a6443f9ad708,limit,19059.38,BTC-USD,,,5492538025,sell,0.001,,,received
1183,2018-03-25 00:36:29.465,8acd5c90-2fc4-11e8-bc94-03ec1c2dcd07,,,,,58b97530-ef6a-455b-a889-e51e4cf7d1ea,limit,16567.11,BTC-USD,,,5492538027,sell,0.0033,,,received
1184,2018-03-25 00:36:29.468,8c201b50-2fc4-11e8-bc94-03ec1c2dcd07,,,,,00c8be8c-6d09-4b40-9b3c-a2fa382505d0,limit,14136.74,BTC-USD,,,5492538031,sell,0.0047,,,received
